3910005701-eng
"Number of persons who married in a given year and marriage rate per 1,000 unmarried persons, by age group and legal marital status 1 2 3 4 5 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Occasional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 39-10-0057-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography 7 8 9,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal marital status prior to marriage 10,Total – Legally unmarried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender 11,Total – Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age at marriage 12,Total – Age,,Under 20 years,,20 to 24 years,,25 to 29 years,,30 to 34 years,,35 to 39 years,,40 to 44 years,,45 to 49 years,,50 to 54 years,,55 to 59 years,,60 to 64 years,,65 to 69 years,,70 to 74 years,,75 to 79 years,,80 years and over,
1998,"305,643",26.8,"5,640",2.8,"61,041",33.3,"95,298",69.9,"56,544",53.1,"33,012",34.9,"19,770",25.7,"12,864",21.1,"8,475",17.4,"4,962",13.7,"3,036",9.6,"2,190",6.4,"1,485",4.1,870,2.4,456,0.8
1999,"311,484",26.7,"5,424",2.6,"60,138",32.2,"96,627",70.5,"57,759",55.3,"34,563",35.4,"20,892",25.9,"13,845",21.6,"9,048",17.3,"5,268",13.6,"3,066",9.4,"2,079",6.1,"1,437",3.9,870,2.4,468,0.8
2000,"314,790",26.4,"5,154",2.5,"57,351",30.1,"95,457",68.8,"58,770",56.7,"35,946",36.1,"22,278",26.5,"15,075",22.2,"10,509",18.8,"5,796",14.1,"3,381",10.1,"2,160",6.3,"1,434",3.9,981,2.6,495,0.8
2001,"293,238",24.0,"4,632",2.2,"52,314",26.8,"88,977",63.0,"55,404",52.9,"32,733",32.8,"20,784",23.6,"14,325",20.0,"10,029",16.9,"5,763",13.1,"3,240",9.3,"2,172",6.4,"1,470",4.0,858,2.3,537,0.9
2002,"293,478",23.6,"4,404",2.1,"50,871",25.6,"88,845",61.7,"56,415",53.5,"32,952",33.4,"21,045",23.0,"14,526",19.2,"10,029",16.3,"6,069",12.6,"3,351",9.1,"2,169",6.4,"1,401",3.8,882,2.3,519,0.8
2003,"294,783",23.2,"4,197",2.0,"49,158",24.3,"87,039",59.3,"57,492",54.3,"32,289",33.5,"22,083",23.3,"15,636",19.6,"10,779",16.8,"7,002",13.5,"3,813",9.8,"2,259",6.6,"1,500",4.1,936,2.5,600,0.9
2004,"292,482",22.6,"3,858",1.8,"46,872",22.8,"86,724",57.7,"56,691",53.4,"32,088",34.0,"22,506",22.9,"15,864",19.0,"11,196",16.6,"7,374",13.4,"4,050",9.8,"2,289",6.5,"1,491",4.1,933,2.5,552,0.8
2005,"295,815",22.4,"3,885",1.8,"46,569",22.3,"86,730",56.3,"57,666",53.9,"32,157",34.6,"22,947",22.8,"16,584",19.1,"11,841",16.6,"7,734",13.3,"4,179",9.5,"2,454",6.9,"1,518",4.2,936,2.5,612,0.9
2006,"301,008",22.3,"3,813",1.7,"46,779",22.2,"88,659",56.0,"58,587",54.2,"32,850",35.3,"23,016",22.8,"17,118",18.9,"12,294",16.4,"8,037",13.1,"4,551",9.8,"2,403",6.5,"1,398",3.9,867,2.3,639,0.9
2007,"297,915",21.7,"3,507",1.6,"45,333",21.4,"88,404",54.3,"57,621",52.1,"32,688",35.3,"22,338",22.7,"17,640",18.8,"12,357",15.6,"8,043",12.6,"4,623",9.1,"2,463",6.3,"1,413",3.9,879,2.3,603,0.8
2008,"294,576",21.0,"3,360",1.5,"43,437",20.5,"88,839",53.0,"58,191",51.1,"32,175",34.7,"21,204",22.3,"16,962",17.5,"12,333",14.8,"7,908",11.9,"4,803",8.9,"2,547",6.2,"1,383",3.8,840,2.2,597,0.8
2009,"292,824",20.5,"3,132",1.4,"41,598",19.4,"89,316",51.7,"58,905",50.0,"31,608",34.1,"20,331",22.0,"16,584",16.6,"12,420",14.2,"7,983",11.4,"5,220",9.1,"2,661",6.1,"1,464",3.9,855,2.2,594,0.7
2010,"291,027",20.0,"2,967",1.3,"39,432",18.0,"88,521",50.1,"59,844",49.1,"31,716",34.1,"19,839",22.0,"16,866",16.7,"12,717",14.0,"8,166",11.1,"5,118",8.4,"2,730",6.0,"1,452",3.8,894,2.4,588,0.7
2011,"288,252",19.5,"2,802",1.3,"37,422",16.8,"87,345",48.8,"60,966",48.4,"31,101",33.3,"20,139",22.4,"16,299",16.2,"12,651",13.3,"8,316",10.7,"5,226",8.1,"2,925",6.0,"1,536",3.9,804,2.1,576,0.7
2012,"294,852",19.6,"2,700",1.2,"36,105",15.9,"88,914",49.0,"63,057",48.9,"32,361",33.9,"20,724",23.2,"16,608",16.9,"13,632",14.0,"9,015",11.0,"5,394",8.2,"3,117",5.9,"1,614",3.9,792,2.1,612,0.7
2013,"285,885",18.8,"2,331",1.1,"33,795",14.7,"86,001",46.8,"63,066",47.9,"31,338",32.0,"19,656",22.0,"15,570",16.3,"13,218",13.2,"8,952",10.4,"5,403",7.9,"3,270",5.8,"1,671",3.9,864,2.3,636,0.7
2014,"295,488",19.2,"2,400",1.1,"33,750",14.6,"89,238",47.7,"66,603",49.6,"32,886",32.8,"19,914",22.4,"15,432",16.6,"13,671",13.4,"9,312",10.4,"5,637",7.8,"3,285",5.5,"1,779",3.9,834,2.1,597,0.7
2015,"298,512",19.2,"2,259",1.1,"32,358",14.1,"88,707",46.6,"68,364",50.5,"33,849",33.1,"20,343",22.9,"15,669",17.2,"14,289",13.8,"9,810",10.6,"5,862",7.8,"3,546",5.6,"1,761",3.7,918,2.3,642,0.7
2016,"298,074",18.9,"2,094",1.0,"31,212",13.6,"89,115",45.7,"69,003",50.2,"33,804",32.2,"19,986",22.5,"15,630",17.3,"13,875",13.5,"10,047",10.4,"6,138",7.8,"3,582",5.4,"1,827",3.6,966,2.4,636,0.7
2017,"297,816",18.6,"2,103",1.0,"30,159",13.0,"88,455",44.5,"69,270",50.0,"34,353",32.2,"20,022",22.4,"15,606",17.4,"13,650",13.6,"10,452",10.8,"6,327",7.7,"3,672",5.5,"2,019",3.7,951,2.2,642,0.7
2018,"301,716",18.6,"2,364",1.1,"30,792",13.1,"88,581",43.5,"70,107",49.9,"35,103",32.2,"20,334",22.4,"15,735",17.6,"13,563",14.0,"10,851",11.1,"6,606",7.9,"3,738",5.5,"2,061",3.6,"1,050",2.4,657,0.7
2019,"292,242",17.8,"2,529",1.2,"31,023",13.0,"84,651",40.8,"67,920",47.3,"34,212",30.7,"19,419",21.0,"15,015",16.9,"12,747",13.6,"10,560",10.7,"6,513",7.6,"3,663",5.2,"2,136",3.6,"1,080",2.3,663,0.7
2020,"196,713",11.8,"2,211",1.1,"23,946",10.0,"57,072",27.3,"46,245",31.5,"22,548",19.9,"12,132",12.9,"9,177",10.3,"7,581",8.3,"6,438",6.5,"4,116",4.7,"2,418",3.3,"1,518",2.4,771,1.6,462,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Sources: Statistics Canada, Canadian Vital Statistics – Marriage Database and Estimates of population, by marital status or legal marital status, age and sex for July 1, Canada, provinces and territories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"At each release of marriage statistics, data from previous years may be revised to reflect any change in methodology as well as updates that have been received from the provincial and territorial vital statistics registrars.  As a consequence, data in this table may differ from those released previously.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,The 2019 and 2020 data are considered preliminary. The number of marriages as well as marriage rates could be underestimated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Imputation was used to replace the few missing values present in the original databases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,This table includes all marriages registered in Canada regardless of whether the new spouses' usual place of residence was in Canada or another country. Marriages of Canadian residents that were registered abroad are not included.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Marriages are counted in the province or territory in which they were registered. The usual place of residence of new spouses could be outside this province or territory or abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Data are not available by gender in some provinces and territories starting in 2003. For that reason, gender-specific statistics for Canada are also unavailable starting in 2003.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Nunavut came into being officially as a Territory of Canada on April 1, 1999. Data for Nunavut and Northwest Territories are presented separately starting in the year 1999.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,The legal marital status is the legal situation in regards to marriage and does not account for unmarried relationships such as common-law unions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"The way in which gender or sex is measured on the marriage registration forms of vital statistics registrars differs across the provinces and territories and has changed over time. Although sex and gender refer to two different concepts, the terminology related to gender is used throughout the data tables on marriage for readability. Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Age at the last birthday preceding marriage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Numbers of persons who married have been rounded. The rounded numbers were used in the computation of marriage rates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Marriage rates correspond to the number of people who married in a given year divided by the size of the unmarried population as of July 1 of the same year. For rates by age group, gender or legal marital status, both the numerator and denominator only include people of a given age group, gender and legal marital status. The demographic estimates used are the most recent available at the time of release.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Statistics Canada. Table 39-10-0057-01  Number of persons who married in a given year and marriage rate per 1,000 unmarried persons, by age group and legal marital status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3910005701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
