Year,AgeRange,MarriageRate,DivorceRate
2018,under 20,-0.07149453527652394,4.731534887122192
2019,under 20,-0.25450792604566064,4.44285453486445
2020,under 20,-0.6891206368379676,4.963615996602569
1970,20-24,7.7374935666960996,2.720711686397144
1971,20-24,8.205932072940374,3.4910248607196186
1972,20-24,7.669002860153163,3.010167438254551
1973,20-24,7.366867711100533,3.203326914631014
1974,20-24,7.528143365972672,2.821326420825768
1975,20-24,8.159797894563901,3.3718599031625316
1976,20-24,7.482769243793355,2.950512902206032
1977,20-24,6.345720276878577,3.056646806136121
1978,20-24,7.413885159994241,3.4978837525986277
1979,20-24,6.5595422613363175,3.569816024796214
1980,20-24,6.743849630911042,3.269155397828933
1981,20-24,6.96203188210863,2.8403134477532346
1982,20-24,6.532275545731157,2.480915669585996
1983,20-24,5.942355872945576,3.5036165240088932
1984,20-24,6.372370028100792,3.354283566244864
1985,20-24,6.598660629364569,3.521524241841411
1986,20-24,6.714411950336725,3.647598257107784
1987,20-24,6.324333347832893,3.353192910630551
1988,20-24,6.300024315279271,3.4523796179277353
1989,20-24,6.514770512699947,3.6677883593232528
1990,20-24,6.173249054940187,3.336886206102792
1991,20-24,5.519483481585605,3.0894678085434903
1992,20-24,5.80455437117072,3.1728030874940756
1993,20-24,5.798914271991376,3.259300233189331
1994,20-24,5.196160623588139,2.880582749071136
1995,20-24,5.2103753209901935,3.7689644899136647
1996,20-24,5.5045865182801865,3.8292216678818245
1997,20-24,4.852872858119276,3.693041669089955
1998,20-24,5.037215247389738,3.892273916648245
1999,20-24,5.529594840459719,3.352660781673965
2000,20-24,6.053932928716101,3.5887308396944255
2001,20-24,4.941405528996774,3.275704644211502
2002,20-24,5.04626960675564,3.845708396926298
2003,20-24,5.092538813857939,3.4272273371038167
2004,20-24,4.120998294692612,3.6414364192270487
2005,20-24,4.546905167422662,3.5529346252924574
2006,20-24,4.228696949275831,3.8153853843791814
2007,20-24,4.690311090942127,3.5806207260324756
2008,20-24,5.203167248307859,4.233842094032365
2009,20-24,3.789184695476518,3.301735455232215
2010,20-24,3.8973747828844223,3.416863672155334
2011,20-24,4.710529135056087,4.324749650785814
2012,20-24,4.328639320049018,3.6426110894184185
2013,20-24,3.5596818945279094,3.233362692465937
2014,20-24,3.798866808599385,3.807539602140821
2015,20-24,3.6288623090503878,3.2381999965095978
2016,20-24,4.700436831726029,4.2505301742993415
2017,20-24,3.2880502463325154,3.6138748971091745
2018,20-24,3.647700278905912,3.563757565202695
2019,20-24,3.1591022994627815,3.884858082948236
2020,20-24,2.9998552790335715,3.4743628878457766
1970,25-29,6.982069576969349,2.4766234107675213
1971,25-29,8.08519592725758,3.6458456024675034
1972,25-29,7.568141509346245,3.112332786300444
1973,25-29,7.498598362734876,3.679850284057238
1974,25-29,7.328967990026184,2.96344528335947
1975,25-29,7.758161225852319,3.6323832343096027
1976,25-29,6.93506038863512,3.285534839631633
1977,25-29,7.405928831618753,3.7711766798380246
1978,25-29,6.898942651686875,3.109757923456401
1979,25-29,7.349965148225617,3.3994270907870523
1980,25-29,6.801270779089437,3.7946580317123964
1981,25-29,6.257915273219716,3.3426269289481176
1982,25-29,7.242969861164579,3.625441724420915
1983,25-29,6.902446781802616,3.5604670334115016
1984,25-29,6.634401775456276,2.9955711837624484
1985,25-29,6.123538322219932,3.1943972305480943
1986,25-29,6.502141932859121,3.3490641347894177
1987,25-29,6.156463925083334,3.2438599374149355
1988,25-29,6.981680207375063,4.239400250332805
1989,25-29,5.475905651148539,3.1005408616569192
1990,25-29,5.263335700372602,2.7457987400451564
1991,25-29,5.28323808416115,2.6055025012494175
1992,25-29,6.7298624261839795,3.782287248497446
1993,25-29,5.503513623705148,3.071752581689562
1994,25-29,5.285623586345032,3.5282142492271067
1995,25-29,5.00619384832439,2.86584160151951
1996,25-29,5.0894468234665755,3.247023870568012
1997,25-29,5.051321005346891,3.7630871844243114
1998,25-29,5.244568944180001,3.0757719764671423
1999,25-29,5.075571265646393,3.57936447516451
2000,25-29,5.32682974593281,3.3590409863697626
2001,25-29,5.140209527865497,3.446164950014982
2002,25-29,4.541583895795681,3.680780593716129
2003,25-29,4.409900105461961,3.2329647411878315
2004,25-29,4.799141769225174,3.2758784092438797
2005,25-29,3.775896603909709,2.2285045799400773
2006,25-29,3.480430611435314,3.2882131686226392
2007,25-29,4.248181626321164,3.703099756995065
2008,25-29,4.412013827780783,3.886083393545957
2009,25-29,5.05280306923629,3.6876550138666597
2010,25-29,3.470533250037678,3.8725226802835406
2011,25-29,3.5626039311436597,3.084123329857964
2012,25-29,4.525533231477722,4.159258956485702
2013,25-29,4.030320504533325,3.8318229442334264
2014,25-29,3.7608418506071155,3.0396727937530854
2015,25-29,3.465980312671082,3.7667521937290314
2016,25-29,3.711838819309113,3.804610779258988
2017,25-29,3.5202911174725093,3.670378138167869
2018,25-29,3.0942323516008976,3.779761362795841
2019,25-29,3.148091062539851,3.4689214978100322
2020,25-29,2.820954070893726,3.6579705303423826
1970,30-34,4.897658878439355,1.545159575435
1971,30-34,4.86968580234181,1.7586683518883923
1972,30-34,4.5693461342680415,1.8017273519986694
1973,30-34,4.604860308361526,0.9832403056019731
1974,30-34,4.684286842899972,1.538207043011097
1975,30-34,5.094680347962603,2.031196301082938
1976,30-34,4.955175485376348,1.7608212930252032
1977,30-34,5.637015871129576,1.9034970029515748
1978,30-34,5.85916909369517,1.921350826620065
1979,30-34,5.26737358947801,2.2865856194221696
1980,30-34,5.1302706281306065,1.887284719578638
1981,30-34,5.930765870113908,2.179686266976557
1982,30-34,6.354233230840977,2.725591965861141
1983,30-34,5.201230074382577,1.138655456153931
1984,30-34,6.071027491184881,2.1120260894489076
1985,30-34,5.591061692182333,1.2904740060963231
1986,30-34,5.191235114465405,1.8710520559139683
1987,30-34,5.6586311874820785,1.766682425159619
1988,30-34,5.534352651876739,2.253735990101109
1989,30-34,7.094528299827271,3.0782521503178826
1990,30-34,6.438408030649086,1.8167558945435422
1991,30-34,6.136055188048073,2.6488156585788376
1992,30-34,5.930500348692824,2.447711201490626
1993,30-34,6.121107428554307,2.466004983141294
1994,30-34,6.533493010397191,2.2734045616843552
1995,30-34,6.035785518546506,1.4840762197012678
1996,30-34,6.34198623949722,2.2034881565313102
1997,30-34,6.397901595692061,2.1239290321062065
1998,30-34,6.499062328988055,2.4869080905911263
1999,30-34,6.29767389801323,2.2195532779202027
2000,30-34,6.267774168464575,1.9059321664181343
2001,30-34,6.451059731509177,1.5992457882051203
2002,30-34,7.048556872510446,1.8196934126056559
2003,30-34,6.80600289683454,2.267162914263551
2004,30-34,6.544580194322342,1.9407993401592036
2005,30-34,6.357889698595096,1.7133373670424907
2006,30-34,7.368971606911739,2.6249868952768844
2007,30-34,6.982143827969327,1.565206699252863
2008,30-34,6.674809292800616,2.1509330044845325
2009,30-34,6.21992124797551,1.7706353049560923
2010,30-34,6.823901019176134,2.0236175454041954
2011,30-34,6.69725245860123,2.2556821776084237
2012,30-34,7.032798790994445,2.173035780431643
2013,30-34,7.074328337768563,2.087879436686199
2014,30-34,7.170921323428028,2.834099061270871
2015,30-34,7.460893899476203,2.3284354347382163
2016,30-34,6.828382166748385,1.3234428824897053
2017,30-34,7.271854882777339,2.182852083203677
2018,30-34,7.441832261379778,1.9557547196605458
2019,30-34,6.442210993647692,1.3173105681772257
2020,30-34,7.798515051776168,2.7191250321490052
1970,35-39,5.509964537191511,2.110920272656316
1971,35-39,4.983939875680266,2.0194654442891755
1972,35-39,4.2326028144854755,1.8104502867617118
1973,35-39,5.725395321085906,2.062358491677948
1974,35-39,5.4949074558166044,2.0633349184461864
1975,35-39,4.894867156962124,1.8545782079027349
1976,35-39,4.481039303795182,1.4298848327059965
1977,35-39,5.143189704571813,2.048098625034575
1978,35-39,4.919836554369832,2.0100544919083734
1979,35-39,5.700926521296658,1.7662607779126533
1980,35-39,5.675218717604174,2.2721748809231928
1981,35-39,5.086774231272779,1.712081360138172
1982,35-39,6.360337641473246,2.0828312760222887
1983,35-39,6.112581731821901,2.130568015646255
1984,35-39,5.542702574365588,1.9422014996199206
1985,35-39,5.542294896676624,1.9051025145305542
1986,35-39,6.451294686405931,2.614756024050545
1987,35-39,6.024929205878769,1.8490959918022187
1988,35-39,5.820875739705323,2.08124658230534
1989,35-39,5.941395541532575,1.1376491342603312
1990,35-39,5.787409590424156,1.9254372110628675
1991,35-39,6.666143575277016,1.8448404256509696
1992,35-39,6.305758093492466,2.0426777327107595
1993,35-39,5.976605659201943,1.727775710621479
1994,35-39,7.015066758521241,2.11960359887284
1995,35-39,5.986971071264048,1.7801696806505836
1996,35-39,7.004015788344337,2.116891187535375
1997,35-39,7.157342277780189,2.331141276807849
1998,35-39,5.711420049824216,2.1261362631515497
1999,35-39,6.791457682532623,2.1328756138433875
2000,35-39,6.731757555161903,2.7857802405372665
2001,35-39,6.810181232335954,2.7031852968029435
2002,35-39,6.619848658018756,1.9441056641914054
2003,35-39,6.534709714420491,1.593911970092256
2004,35-39,6.653983141608735,2.132181517280964
2005,35-39,6.511258093781751,1.8158571849408554
2006,35-39,6.791422835720882,1.507235931590983
2007,35-39,6.504056969654623,2.018349702156604
2008,35-39,7.399682566620376,1.7773857371198305
2009,35-39,7.081594645121323,1.6864052191731334
2010,35-39,7.0303652112177195,1.7808941729551633
2011,35-39,7.316305655544876,2.050998745542273
2012,35-39,7.449801786699637,1.6775958215634101
2013,35-39,7.395173665997808,2.369095160025407
2014,35-39,7.265330521288201,2.373387068213302
2015,35-39,7.013753253102854,1.990094899473505
2016,35-39,7.52468161555503,2.448171665622788
2017,35-39,7.603841162527269,2.5685765258803364
2018,35-39,6.8838667618801574,1.7014430009287242
2019,35-39,8.050334595272986,2.2088319978705435
2020,35-39,7.077209363588425,2.3378068979580418
1970,40-44,2.5573579360056242,1.4308683468428878
1971,40-44,1.745342241893605,0.8669493583248162
1972,40-44,1.2940597009234924,0.5829876878050554
1973,40-44,2.385978603118204,1.3927653645431217
1974,40-44,1.6843319928549605,0.20602482785269344
1975,40-44,2.0670343678322416,0.6120788552334188
1976,40-44,2.5301763463997724,0.8295937049229256
1977,40-44,1.8500748189873042,0.43358930504325505
1978,40-44,2.3685690017261987,0.9327354756535823
1979,40-44,2.337759518565634,1.1268626341952737
1980,40-44,2.550606324465136,0.8046831401899982
1981,40-44,2.37057215306742,0.9348313301972033
1982,40-44,2.2480838972553356,0.8592018201958562
1983,40-44,2.369121992709302,1.0709439367999534
1984,40-44,2.6677277154609254,0.9607416957173135
1985,40-44,2.782548517324737,0.8290347768364201
1986,40-44,2.4157080383203646,0.6524648697498657
1987,40-44,2.538494799379166,0.1082446983493418
1988,40-44,2.429404226595129,0.8807266918589081
1989,40-44,2.607143577545754,1.1052489261464031
1990,40-44,2.0239264693424524,0.33836532028055577
1991,40-44,2.5376985713652642,0.6902590891705147
1992,40-44,2.2621311577188052,0.37128677633479107
1993,40-44,2.3776493005680073,0.7608984629106215
1994,40-44,2.0284577765675853,0.573580823193453
1995,40-44,2.9425487492834326,0.9748866038136262
1996,40-44,2.1794578139781726,0.7532236277723996
1997,40-44,2.369252689528902,0.8398120435142488
1998,40-44,2.7456402257090353,0.5284838497756592
1999,40-44,1.9302402175171234,0.5995952146176371
2000,40-44,2.2053406173185297,0.5542289345655216
2001,40-44,2.055853803460365,0.8640058836658485
2002,40-44,2.636159021416269,0.8504983927545063
2003,40-44,2.581584315232383,0.5150024441597246
2004,40-44,2.91735812663131,0.6635899674617601
2005,40-44,2.9784357315625343,0.7634071265437349
2006,40-44,2.6253412814749573,0.5018545749773673
2007,40-44,2.523678196671249,0.5708816225886243
2008,40-44,2.610056725527713,0.9285967412039959
2009,40-44,2.76630744543907,0.7116445472805333
2010,40-44,3.235847269212524,0.6649092904014334
2011,40-44,2.4472037944375282,0.25645150263780386
2012,40-44,3.165771304349794,1.3382380646567453
2013,40-44,2.8384814270792433,0.5841254571808588
2014,40-44,2.667502189035168,0.7451525586786604
2015,40-44,2.9560515610854705,0.6527769995092108
2016,40-44,2.9417602005243753,0.5145126919295213
2017,40-44,3.102555770888804,0.47363248117916595
2018,40-44,3.081526949956728,0.6308050883146804
2019,40-44,2.8460483831815204,0.6857220133364794
2020,40-44,2.9610393913390523,0.5034725845728909
1970,45-49,1.8692198144197145,0.32820018903425235
1971,45-49,1.698386281253608,0.34152456785119517
1972,45-49,2.075112293404555,1.0468106537638902
1973,45-49,1.9273531731048519,0.8680854461467907
1974,45-49,1.8049205581043613,0.7510496365142281
1975,45-49,2.256827632713538,1.037598360630777
1976,45-49,1.824345996868583,0.6939503314130205
1977,45-49,1.7615613615852908,0.7612876778931009
1978,45-49,2.3423472730894397,0.5775355210839759
1979,45-49,1.980496063564152,0.8303832924297048
1980,45-49,2.023777730251722,0.4423087454664973
1981,45-49,2.223681154284983,0.6853267766262149
1982,45-49,2.211976653094376,0.4456852599178713
1983,45-49,2.3545400183878167,0.16004144849771507
1984,45-49,2.811430231137406,0.24596119733455724
1985,45-49,1.9773275929492118,0.5830069825982466
1986,45-49,2.6085084518546044,0.8223815503918477
1987,45-49,2.6345943269318575,1.1751673098539317
1988,45-49,2.5440874204376702,0.9336254486355021
1989,45-49,2.2101810439645444,1.0763048924913958
1990,45-49,2.097349261458357,0.6902442973059838
1991,45-49,2.7221039692505076,0.7187467908018279
1992,45-49,2.2896995861400957,1.0908683744116894
1993,45-49,2.5695788050041415,0.4851808778432395
1994,45-49,2.625549623329273,0.7509904367525836
1995,45-49,1.8249403513398512,0.4681776186007702
1996,45-49,2.1523283486027616,0.6636911149576005
1997,45-49,2.3997089375158422,0.3913219903399707
1998,45-49,2.2800410628948184,0.49042896871686714
1999,45-49,2.7517408009900453,0.3964305417137862
2000,45-49,2.4610171830102,1.030467616530749
2001,45-49,2.456834969860912,0.7639601992921218
2002,45-49,2.6767125611767844,0.6076118559938186
2003,45-49,2.4260263634024053,0.7117263404693226
2004,45-49,2.434698057582072,0.3170260744980068
2005,45-49,2.6812500932415833,0.28150366825485224
2006,45-49,2.795976132886425,0.9543989051193498
2007,45-49,2.20030519430367,0.7276639536301763
2008,45-49,3.2406200792193283,1.0854396478790702
2009,45-49,3.059989430134063,0.6882229192120529
2010,45-49,3.031375905619315,0.8584135392151152
2011,45-49,2.2823280970736493,0.46757209189133764
2012,45-49,2.7524192383924353,0.7841100847102936
2013,45-49,3.363816835120124,0.7059271288446183
2014,45-49,3.018694830817166,0.5166614203888931
2015,45-49,3.3728087202122072,0.6995038374804061
2016,45-49,3.0239503148278946,0.7359816378570754
2017,45-49,3.2820061756707664,0.3861892175679147
2018,45-49,2.4592038804995298,0.5019114957438945
2019,45-49,2.987921760862231,0.38630854882963
2020,45-49,3.3106147695805244,0.7222756511480727
1970,50-54,1.825866297640002,0.2557218284377774
1971,50-54,1.8977966588540875,0.6364449729081341
1972,50-54,1.8783910157560793,0.5476539350902045
1973,50-54,2.19967035259119,1.3395681452172692
1974,50-54,2.0078856633322006,0.6952534701616375
1975,50-54,1.7332334006397392,0.30847014617301055
1976,50-54,2.3081084093772115,0.7877330884703756
1977,50-54,2.2666539550429063,0.2809574168959249
1978,50-54,2.2024376798076375,0.9745708587011379
1979,50-54,1.845142227587981,0.907362689166562
1980,50-54,2.057573716078855,0.7973986935830086
1981,50-54,2.2590359389736987,0.6824626330341135
1982,50-54,2.4603354890151548,0.5829890903019757
1983,50-54,2.2643213737695373,0.6841652143219223
1984,50-54,2.3041778855237243,1.514107718215727
1985,50-54,2.2108576047060113,1.1623333610353241
1986,50-54,2.3627474813907203,0.9924664461709942
1987,50-54,2.2808210027077025,0.8220022048454929
1988,50-54,2.7170270199357813,0.4967402945955591
1989,50-54,2.7361011408144287,1.4955149510629522
1990,50-54,2.7751475868649234,0.8859528349521174
1991,50-54,1.966884733423447,0.5100669731738605
1992,50-54,2.544108853211686,-0.09912695924304893
1993,50-54,2.2007387896462376,0.5498747172729339
1994,50-54,2.5176098762098267,0.4668804455822277
1995,50-54,2.4469730848649287,0.8885908833419898
1996,50-54,2.170534446256609,0.38099314974925513
1997,50-54,2.410931946438177,0.6694876873393619
1998,50-54,2.376909603633182,0.6132976570186202
1999,50-54,2.914081335763344,1.2058768231795185
2000,50-54,2.9900870414524556,1.0938786989539502
2001,50-54,2.2658580992782698,0.5072086430927618
2002,50-54,2.533181377055864,0.7164572304926111
2003,50-54,2.3539279471262393,0.1593568962985032
2004,50-54,2.405642101935531,0.520749282673662
2005,50-54,2.720009319942799,1.1184502948609605
2006,50-54,2.6706099004278063,0.6261051774972013
2007,50-54,2.6971364858747826,0.5326524113703546
2008,50-54,2.8548703424669046,0.8361025123939627
2009,50-54,2.641375656869382,0.9552437582764075
2010,50-54,2.850203484746295,0.4151449565661152
2011,50-54,2.9348167245588246,0.8814027284045134
2012,50-54,2.9815779379460894,0.7362530414429649
2013,50-54,2.7165156987353773,0.5563567374081317
2014,50-54,2.7424160741560013,0.6793534829928604
2015,50-54,2.540493066490794,0.9076506419422616
2016,50-54,3.0010353795538656,0.9400743603163848
2017,50-54,3.164056705465062,0.7245225387196945
2018,50-54,2.936698500073587,0.9927073103656483
2019,50-54,2.6792775043790846,0.2311666542990672
2020,50-54,3.364889161080342,0.9128597173452202
1970,55-59,1.9783143848353766,0.8211809262565478
1971,55-59,1.5971460741599892,0.42977142345387054
1972,55-59,1.9617632076032159,0.49653212239508293
1973,55-59,2.056350179213692,0.845116319948278
1974,55-59,2.1048319955870127,0.7269051797369944
1975,55-59,1.8170315859244908,0.9688657238129277
1976,55-59,2.195896325931259,0.855178421092643
1977,55-59,2.1079511944251554,1.1784241831067899
1978,55-59,2.064952078589612,0.855008601873113
1979,55-59,1.8248473165194532,1.012864498235233
1980,55-59,1.834878327617432,0.5506655478688717
1981,55-59,2.3451683396925738,1.0450624871958167
1982,55-59,2.1614618963980026,0.3013587169721727
1983,55-59,2.456306143491748,0.6759136274730528
1984,55-59,2.8961780174710183,0.7099196493921421
1985,55-59,2.785700394708667,1.0704608039947785
1986,55-59,2.0400489968653828,0.6192627245482497
1987,55-59,2.4017315011212825,0.8026337219823229
1988,55-59,2.282069463152346,0.6419827603326476
1989,55-59,2.6663306196936407,1.1127971714866418
1990,55-59,2.668185150839066,0.517417412622678
1991,55-59,2.263384012573539,0.5084343654548964
1992,55-59,2.3396818727248694,1.1872145695676573
1993,55-59,2.8274818749714594,1.3455943926394405
1994,55-59,2.4754512073087285,0.5866802297650848
1995,55-59,2.3487788760592614,0.6563037094501206
1996,55-59,2.2104690061041987,0.639284264194044
1997,55-59,2.95236032314813,1.326377885289298
1998,55-59,2.6404995331375343,1.311825537296954
1999,55-59,2.6377034178587655,0.40940284384042447
2000,55-59,2.422200926779574,1.1486942834153062
2001,55-59,2.561582985182308,0.7612115753699085
2002,55-59,2.04558300831157,-0.057217827455470605
2003,55-59,2.9799154400994423,1.4755339447509357
2004,55-59,2.627016618647726,0.40134223262604635
2005,55-59,2.5407477943855876,0.23076902334602972
2006,55-59,2.674851987817669,0.34840372580143747
2007,55-59,2.60541601866961,0.46714588892027076
2008,55-59,2.990751697527009,0.04570707672589491
2009,55-59,2.7174167148829858,1.06409503013017
2010,55-59,3.230504709833558,1.0287290689143247
2011,55-59,2.592065410340005,0.27611176108239743
2012,55-59,2.8751542746214334,0.9378384413939925
2013,55-59,2.9422956260120667,1.0356463788189407
2014,55-59,2.8684347362126936,0.7173472672944764
2015,55-59,2.8434625601579144,1.0196050725922141
2016,55-59,3.0146070703095322,0.7667780383560657
2017,55-59,3.0919365932655536,0.6423497528977503
2018,55-59,2.6358443025525147,0.7198081413245081
2019,55-59,2.960944689436619,0.332838313731181
2020,55-59,2.695114560747028,0.6066289574922336
1970,60-64,2.3951861409141424,1.0609949489347477
1971,60-64,2.3373398723764813,1.4935632434567059
1972,60-64,2.0124538795511606,0.6085165409942106
1973,60-64,2.1714435816710824,0.8678571112394404
1974,60-64,2.080275067846469,1.2006906808008122
1975,60-64,1.8916210561070077,0.3400821725301448
1976,60-64,1.5588235467434584,0.5161390213198817
1977,60-64,1.8844995479409907,0.8020651987914648
1978,60-64,2.0821661790394685,0.7121264495536517
1979,60-64,1.790479959298425,0.6010921594425372
1980,60-64,2.0485529392447015,0.8445429006050793
1981,60-64,1.7289810159996182,0.7116219268598019
1982,60-64,2.221743933626371,0.8922510687620537
1983,60-64,2.0513846613113382,0.857722080767535
1984,60-64,2.104896074130429,0.6838953294868715
1985,60-64,2.4593374146739593,0.5198937266633107
1986,60-64,2.1057971952527685,0.9094400029918703
1987,60-64,2.627485132285952,1.4609437797273892
1988,60-64,2.4813443512605327,0.3700844570584296
1989,60-64,2.729772097453428,1.2005746576558085
1990,60-64,2.5973831162971006,1.0042814404098457
1991,60-64,2.829427149410477,0.5952588095816187
1992,60-64,2.2231518476447167,0.21574852883526136
1993,60-64,2.5667410196008404,0.8258064255036262
1994,60-64,2.296302359011758,0.7664771409673464
1995,60-64,3.181967213076955,0.4820103150050242
1996,60-64,2.6146987550683516,0.6066676170712006
1997,60-64,2.8327155553886323,0.4278695837704508
1998,60-64,2.7602897264733754,0.7329729604915568
1999,60-64,2.4229981721624796,0.6441695060892264
2000,60-64,2.92992843195489,0.7144203615902647
2001,60-64,2.5576854582342117,0.6177624246520294
2002,60-64,2.649838677745633,0.424459252722389
2003,60-64,2.7479871669262943,0.5125925651028715
2004,60-64,2.2659523094265053,0.4862461410832314
2005,60-64,2.501811240626349,0.8357708421364348
2006,60-64,3.1771423483802397,0.517623517896193
2007,60-64,2.4551014497579273,0.714041325116672
2008,60-64,2.964416654753583,0.8967679333636216
2009,60-64,3.0098034739032102,0.6160970284153093
2010,60-64,2.9647716744810846,0.9410058456705686
2011,60-64,2.57144248871546,0.801318526630598
2012,60-64,3.010031384665607,0.3214936715409455
2013,60-64,3.4819875827917404,0.8713732201557562
2014,60-64,2.945343252145425,0.8524083404016537
2015,60-64,2.8773866025714097,0.9721394088454891
2016,60-64,2.7149387817327013,0.5414274062122674
2017,60-64,2.6935296910931275,0.26588036582570335
2018,60-64,2.779452005312053,0.2502070586765464
2019,60-64,2.4713493450040276,0.677436832932697
2020,60-64,2.927331073410959,0.5421754159427941
1970,65-69,1.6523134747153918,0.6241132135432519
1971,65-69,2.2832880017623625,0.8338284982477798
1972,65-69,2.3640530725857136,0.9139993313251317
1973,65-69,1.887666406405148,0.7331064572628723
1974,65-69,1.7349404184549964,0.7701291596159436
1975,65-69,2.752444068447,1.4547745715316638
1976,65-69,2.1474238950877447,0.3673510876247767
1977,65-69,2.133415945257203,1.0324274400444422
1978,65-69,2.384622263260953,1.0442347929716294
1979,65-69,2.0225141440171344,-0.09302114815264007
1980,65-69,2.060822945251329,0.8687511768608397
1981,65-69,1.8804416184509813,1.0633030077350176
1982,65-69,2.277357339448782,0.6639298670461352
1983,65-69,2.2126501666854743,0.5924769429610248
1984,65-69,2.565655964257635,0.8707861197594333
1985,65-69,2.137529428121238,0.3097311685555418
1986,65-69,2.7415390995692315,1.2996665701343597
1987,65-69,2.1828728018360213,0.5332041029023417
1988,65-69,2.2438527231279894,0.34812567005375483
1989,65-69,2.27477492898264,0.5742474274874452
1990,65-69,2.358674656769169,1.2058747724971408
1991,65-69,2.1362865586911397,0.3478824052959185
1992,65-69,2.0802550397931654,0.6716748762782734
1993,65-69,2.3904903843404517,0.7658609588478442
1994,65-69,2.344743793183754,0.5398304828941438
1995,65-69,2.47948648285094,0.4186499276062315
1996,65-69,2.3313130795343353,0.5228247324063637
1997,65-69,2.1561486997660215,0.7397609830242171
1998,65-69,2.820792863558918,0.29416104499339224
1999,65-69,2.525664881851186,1.012355601588369
2000,65-69,3.028313015559436,1.3355455628006796
2001,65-69,2.569788032333123,0.5803754085678144
2002,65-69,3.0597792412524742,1.0987386353498603
2003,65-69,3.208394536084625,0.7858778498373081
2004,65-69,3.2142238089351887,1.2128037125807372
2005,65-69,2.856385482982866,0.8150493238702401
2006,65-69,3.0265819799625318,0.7583932407964453
2007,65-69,2.551881156346602,0.9533913350649539
2008,65-69,2.9947998301090446,1.28218074878697
2009,65-69,3.05071322857613,0.8165992614336086
2010,65-69,3.5818547094216893,1.2474136822285915
2011,65-69,2.406858033559139,0.5681959522527799
2012,65-69,2.950998119347812,0.42706167960657987
2013,65-69,2.5243518220189296,0.5615585507430613
2014,65-69,3.414738784704066,1.450718726917141
2015,65-69,2.8943392414818994,1.0095534793951626
2016,65-69,3.0084867968868423,0.42423619943076424
2017,65-69,2.888411911992439,0.5094644409920143
2018,65-69,3.160695972905886,0.8805941155970279
2019,65-69,3.3684676834298295,0.668448095689081
2020,65-69,1.9673940135160952,1.0251081897438845
1970,70-74,1.959319606500713,1.171561639634245
1971,70-74,1.886708333465655,0.7067609434470532
1972,70-74,2.1482759468257155,1.0390736766596766
1973,70-74,1.802693589364313,0.7153333621118806
1974,70-74,1.555641672468517,-0.031758818195676386
1975,70-74,2.101330050011478,0.8529335086954282
1976,70-74,2.71424486914209,1.2894364875935262
1977,70-74,2.5193261468494508,0.584427897115219
1978,70-74,2.226591786106482,0.8787356184320894
1979,70-74,2.265952777184171,0.9219837203947073
1980,70-74,2.1820606118595016,0.3404316344484656
1981,70-74,2.5338118342437737,0.9186161261771651
1982,70-74,2.7303589686401195,0.8356354113712909
1983,70-74,2.7491600274447507,0.9782998304835879
1984,70-74,1.8577976705457353,0.29574329282315354
1985,70-74,2.0435402944601986,0.6075182892537855
1986,70-74,2.7264352778856407,0.3844445642503983
