REF_DATE,GEO,DGUID,Legal marital status prior to marriage,Gender,Age at marriage,Indicator,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,291027,,,,0
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,288252,,,,0
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,294852,,,,0
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,285885,,,,0
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,295488,,,,0
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,298512,,,,0
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,298074,,,,0
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,297816,,,,0
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,301716,,,,0
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,292242,,,,0
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Number of persons who married,Number,223,units,0,v1446864972,1.1.1.1.1,196713,,,,0
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,35.2,,,,1
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,32.9,,,,1
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,31.1,,,,1
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,30.6,,,,1
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,29.9,,,,1
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,28.5,,,,1
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,27.3,,,,1
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,26.8,,,,1
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,26.7,,,,1
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,26.4,,,,1
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,24.0,,,,1
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,23.6,,,,1
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,23.2,,,,1
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,22.6,,,,1
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,22.4,,,,1
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,22.3,,,,1
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,21.7,,,,1
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,21.0,,,,1
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,20.5,,,,1
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,20.0,,,,1
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,19.5,,,,1
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,19.6,,,,1
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,18.8,,,,1
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,19.2,,,,1
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,19.2,,,,1
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,18.9,,,,1
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,18.6,,,,1
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,18.6,,,,1
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,17.8,,,,1
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Total – Age,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864973,1.1.1.1.2,11.8,,,,1
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,9921,,,,0
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,8655,,,,0
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,7683,,,,0
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,7680,,,,0
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,7242,,,,0
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,6501,,,,0
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,6042,,,,0
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,5640,,,,0
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,5424,,,,0
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,5154,,,,0
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,4632,,,,0
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,4404,,,,0
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,4197,,,,0
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,3858,,,,0
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,3885,,,,0
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,3813,,,,0
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,3507,,,,0
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,3360,,,,0
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,3132,,,,0
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2967,,,,0
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2802,,,,0
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2700,,,,0
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2331,,,,0
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2400,,,,0
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2259,,,,0
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2094,,,,0
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2103,,,,0
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2364,,,,0
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2529,,,,0
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Number of persons who married,Number,223,units,0,v1446864974,1.1.1.2.1,2211,,,,0
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,5.2,,,,1
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,4.5,,,,1
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,4.0,,,,1
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,3.9,,,,1
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,3.7,,,,1
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,3.2,,,,1
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,3.0,,,,1
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,2.8,,,,1
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,2.6,,,,1
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,2.5,,,,1
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,2.2,,,,1
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,2.1,,,,1
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,2.0,,,,1
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.8,,,,1
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.8,,,,1
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.7,,,,1
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.6,,,,1
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.5,,,,1
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.4,,,,1
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.3,,,,1
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.3,,,,1
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.2,,,,1
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.1,,,,1
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.1,,,,1
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.1,,,,1
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.0,,,,1
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.0,,,,1
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.1,,,,1
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.2,,,,1
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,Under 20 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864975,1.1.1.2.2,1.1,,,,1
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,91575,,,,0
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,82902,,,,0
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,77157,,,,0
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,75606,,,,0
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,72516,,,,0
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,66435,,,,0
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,63147,,,,0
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,61041,,,,0
1999,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,60138,,,,0
2000,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,57351,,,,0
2001,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,52314,,,,0
2002,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,50871,,,,0
2003,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,49158,,,,0
2004,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,46872,,,,0
2005,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,46569,,,,0
2006,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,46779,,,,0
2007,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,45333,,,,0
2008,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,43437,,,,0
2009,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,41598,,,,0
2010,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,39432,,,,0
2011,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,37422,,,,0
2012,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,36105,,,,0
2013,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,33795,,,,0
2014,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,33750,,,,0
2015,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,32358,,,,0
2016,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,31212,,,,0
2017,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,30159,,,,0
2018,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,30792,,,,0
2019,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,31023,,,,0
2020,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Number of persons who married,Number,223,units,0,v1446864976,1.1.1.3.1,23946,,,,0
1991,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,51.2,,,,1
1992,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,46.3,,,,1
1993,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,43.2,,,,1
1994,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,42.3,,,,1
1995,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,40.5,,,,1
1996,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,36.8,,,,1
1997,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,34.7,,,,1
1998,Canada,2016A000011124,Total – Legally unmarried,Total – Gender,20 to 24 years,Marriage rate,"Rate per 1,000 persons of the same marital status",432,units,0,v1446864977,1.1.1.3.2,33.3,,,,1
