3910005101-eng
Number of divorces and divorce indicators 1 2 3 4 5 6,,,,,,,,,,
Frequency: Occasional,,,,,,,,,,
Table: 39-10-0051-01,,,,,,,,,,
Release date: 2022-11-14,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Geography 7 8,Canada,,,,,,,,,
Indicator 9,Number of divorces,Crude divorce rate 10,Divorce rate 11,Age-standardized divorce rate 12,30-year total divorce rate 13,50-year total divorce rate 14,Mean duration of marriage 15,Median duration of marriage 15,Median duration of divorce proceedings 16,Proportion of divorce applications that are filed jointly 17
2000,"73,005",2.379,11.3,12.4,388.7,421.5,14.1,11.9,5.1,16
2001,"71,880",2.317,11.1,12.3,384.8,417.3,14.1,12.0,5.1,18
2002,"71,199",2.270,10.9,12.2,383.8,416.4,14.2,12.2,5.3,18
2003,"71,466",2.258,10.9,12.3,388.7,421.1,14.3,12.2,5.4,19
2004,"70,179",2.197,10.6,12.0,383.9,416.6,14.5,12.5,5.4,19
2005,"71,985",2.233,10.8,12.4,396.3,431.0,14.5,12.4,5.4,21
2006,"75,213",2.309,11.2,13.0,419.3,454.8,14.5,12.2,5.1,21
2007,"73,359",2.231,10.9,12.8,412.3,446.6,14.5,12.3,5.0,21
2008,"71,031",2.136,10.4,12.4,402.5,435.7,14.5,12.3,5.1,21
2009,"69,570",2.069,10.1,12.1,396.8,429.2,14.5,12.2,5.1,21
2010,"69,684",2.049,10.1,12.1,399.5,432.4,14.6,12.3,5.1,20
2011,"68,556",1.996,9.9,11.9,394.7,427.7,14.8,12.5,5.4,21
2012,"68,511",1.974,9.8,11.8,397.5,430.4,14.9,12.5,5.1,22
2013,"65,802",1.876,9.3,11.2,382.0,415.4,15.1,12.9,5.1,23
2014,"62,709",1.770,8.8,10.7,366.4,398.1,15.2,13.0,5.2,24
2015,"60,963",1.708,8.5,10.2,356.5,388.2,15.4,13.2,5.2,24
2016,"62,397",1.728,8.6,10.4,366.0,399.4,15.6,13.4,5.4,25
2017,"62,256",1.704,8.5,10.3,366.1,400.1,15.6,13.3,5.1,29
2018,"61,344",1.655,8.2,10.0,362.2,396.3,15.6,13.2,4.8,29
2019,"56,937",1.514,7.5,9.1,338.0,369.4,15.5,13.2,4.9,30
2020,"42,933",1.129,5.6,6.8,256.3,279.7,15.3,12.8,5.8,31
,,,,,,,,,,
Symbol legend:,,,,,,,,,,
.., not available for a specific reference period,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Footnotes:,,,,,,,,,,
1,"Sources: Statistics Canada, Canadian Vital Statistics—Divorce Database, Canadian Vital Statistics—Marriage Database, and Estimates of population, by marital status or legal marital status, age and sex for July 1, Canada, provinces and territories.",,,,,,,,,
2,Data in this table may differ from those released previously due to updates in the data sources and methodology.,,,,,,,,,
3,The 2019 and 2020 data are considered preliminary. The number of divorces as well as divorce rates could be underestimated.,,,,,,,,,
4,Imputation was used to replace the few missing values present in the original database.,,,,,,,,,
5,This table includes all divorces granted in Canada whether the marriage was registered in Canada or another country.,,,,,,,,,
6,The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable.,,,,,,,,,
7,Divorces are recorded in the province or territory in which they were granted by the courts. This generally corresponds to the place of residence of at least one spouse upon applying for divorce. Spouses may reside outside this province or territory at the time the divorce is granted.,,,,,,,,,
8,"Statistics for Northwest Territories and Nunavut are presented separately from 2000. Prior to 2000, only statistics for Northwest Territories and Nunavut combined are available. Even after 2000, however, the 30-year total divorce rate and 50-year total divorce rate are only available for both territories combined because the annual number of marriages going back 30 or 50 years, needed for the computation of these rates, is not available separately for each territory.",,,,,,,,,
9,Numbers of divorces have been rounded. The rounded numbers were used in the computation of rates and percentages.,,,,,,,,,
10,Corresponds to the number of divorces divided by the total population.,,,,,,,,,
11,"Corresponds to the number of persons who divorced in a given year divided by the size of the married population (including people who are separated but still legally married) as of July 1 of the same year. Also known as the refined divorce rate"" or the ""marital divorce rate"". Divorce rates are not presented before 1991 because estimates of the married population included people in common-law unions before that year.""",,,,,,,,,
12,"Interpreted as the divorce rate that would have been observed in a given place and year if the married population had the same age structure as a standard population. The Canadian married population as of July 1, 1991, (sexes combined) is used as the standard population. Divorce rates are not presented before 1991 because estimates of the married population included people in common-law unions before that year.",,,,,,,,,
13,The 30-year total divorce rate (TDR-30) is the sum of divorce rates by year of marriage up to 30 years of marriage. It can be interpreted as the proportion of married couples who would divorce before their 30th wedding anniversary if the duration-specific divorce rates observed for a given year remained constant. This rate does not take into account mortality and migration.,,,,,,,,,
14,The 50-year total divorce rate (TDR-50) is the sum of duration-specific divorce rates up to 50 years of marriage. It can be interpreted as the proportion of married couples who would divorce before their 50th wedding anniversary if the duration-specific divorce rates observed for a given year remained constant. This rate does not take into account mortality and migration.,,,,,,,,,
15,For marriages ending in divorce in a given year. Computed from exact durations.,,,,,,,,,
16,"The duration of divorce proceedings is defined here as the number of months between the date on which the divorce application was filed and the date on which the divorce was granted (that is, when it becomes effective).",,,,,,,,,
17,"Joint divorce applications only became possible on June 1, 1986, when a reform of the Divorce Act came into force.",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
How to cite: Statistics Canada. Table 39-10-0051-01  Number of divorces and divorce indicators,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3910005101,,,,,,,,,,
